dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.462904,10.862893,0.000660,0.065995,3.299769,164.988453,0.002570
0.020000,4.463379,10.862894,0.001135,0.023762,-2.111662,-270.571547,0.002094
0.020000,4.464448,10.862896,0.002204,0.053455,1.484634,179.814807,0.001025
0.020000,4.470432,10.862895,0.008188,0.299198,12.287168,540.126663,6.282429
0.020000,4.486785,10.862862,0.024541,0.817632,25.921699,681.726577,6.279935
0.020000,4.507811,10.862760,0.045567,1.051310,11.683879,-711.891005,6.276728
0.020000,4.533507,10.862544,0.071265,1.284882,11.678620,-0.262965,6.272808
0.020000,4.563877,10.862158,0.101637,1.518615,11.686641,0.401079,6.268175
0.020000,4.598916,10.861538,0.136681,1.752198,11.679142,-0.374966,6.262829
0.020000,4.638620,10.860610,0.176396,1.985744,11.677326,-0.090819,6.256771
0.020000,4.682987,10.859287,0.220783,2.219343,11.679912,0.129320,6.250002
0.020000,4.732007,10.857476,0.269836,2.452681,11.666939,-0.648669,6.242525
0.020000,4.785672,10.855073,0.323555,2.685951,11.663466,-0.173643,6.234342
0.020000,4.843968,10.851964,0.381934,2.918940,11.649449,-0.700827,6.225460
0.020000,4.906878,10.848026,0.444967,3.151621,11.634080,-0.768437,6.215883
0.020000,4.974378,10.843128,0.512644,3.383891,11.613503,-1.028868,6.205621
0.020000,5.046442,10.837130,0.584958,3.615678,11.589326,-1.208844,6.194683
0.020000,5.123035,10.829886,0.661893,3.846739,11.553072,-1.812725,6.183082
0.020000,5.204119,10.821240,0.743436,4.077149,11.520472,-1.629988,6.170835
0.020000,5.289642,10.811032,0.829566,4.306511,11.468123,-2.617424,6.157958
0.020000,5.379549,10.799097,0.920262,4.534787,11.413816,-2.715373,6.144476
0.020000,5.473776,10.785265,1.015498,4.761836,11.352430,-3.069289,6.130413
0.020000,5.572247,10.769365,1.115245,4.987336,11.275011,-3.870983,6.115800
0.020000,5.674879,10.751223,1.219468,5.211156,11.190968,-4.202115,6.100669
0.020000,5.781579,10.730665,1.328131,5.433116,11.098021,-4.647386,6.085059
0.020000,5.892243,10.707521,1.441189,5.652933,10.990867,-5.357657,6.069012
0.020000,6.006761,10.681622,1.558599,5.870477,10.877176,-5.684573,6.052574
0.020000,6.125010,10.652807,1.680309,6.085491,10.750706,-6.323503,6.035796
0.020000,6.246863,10.620920,1.806264,6.297784,10.614629,-6.803858,6.018731
0.020000,6.372183,10.585814,1.936409,6.507216,10.471628,-7.150052,6.001437
0.020000,6.500829,10.547352,2.070681,6.713610,10.319672,-7.597788,5.983974
0.020000,6.632654,10.505411,2.209017,6.916829,10.160952,-7.936013,5.966408
0.020000,6.767510,10.459878,2.351353,7.116776,9.997345,-8.180347,5.948801
0.020000,6.905247,10.410656,2.497620,7.313374,9.829937,-8.370380,5.931223
0.020000,7.045715,10.357663,2.647752,7.506581,9.660325,-8.480587,5.913740
0.020000,7.188767,10.300832,2.801679,7.696365,9.489193,-8.556602,5.896421
0.020000,7.334260,10.240112,2.959335,7.882768,9.320143,-8.452525,5.879334
0.020000,7.482058,10.175469,3.120651,8.065799,9.151557,-8.429275,5.862546
0.020000,7.632031,10.106886,3.285562,8.245550,8.987551,-8.200337,5.846123
0.020000,7.784059,10.034359,3.454004,8.422109,8.827961,-7.979457,5.830128
0.020000,7.938034,9.957904,3.625915,8.595565,8.672801,-7.758012,5.814624
0.020000,8.093856,9.877551,3.801235,8.766015,8.522501,-7.515002,5.799671
0.020000,8.251440,9.793343,3.979908,8.933611,8.379807,-7.134697,5.785326
0.020000,8.410715,9.705340,4.161877,9.098495,8.244212,-6.779759,5.771643
0.020000,8.571621,9.613615,4.347091,9.260692,8.109844,-6.718403,5.758675
0.020000,8.734114,9.518256,4.535499,9.420389,7.984851,-6.249650,5.746474
0.020000,8.898165,9.419363,4.727051,9.577618,7.861443,-6.170396,5.735088
0.020000,9.063757,9.317051,4.921701,9.732488,7.743513,-5.896505,5.724565
0.020000,9.230889,9.211447,5.119401,9.885008,7.625980,-5.876674,5.714950
0.020000,9.399574,9.102692,5.320106,10.035209,7.510070,-5.795471,5.706292
0.020000,9.569838,8.990942,5.523767,10.183064,7.392730,-5.866986,5.698637
0.020000,9.741721,8.876366,5.730337,10.328511,7.272376,-6.017705,5.692032
0.020000,9.915276,8.759152,5.939767,10.471475,7.148187,-6.209455,5.686528
0.020000,10.090570,8.639501,6.152003,10.611802,7.016327,-6.592991,5.682178
0.020000,10.267679,8.517635,6.366989,10.749334,6.876608,-6.985986,5.679036
0.020000,10.446695,8.393793,6.584666,10.883840,6.725293,-7.565723,5.677164
0.020000,10.627716,8.268240,6.804967,11.015050,6.560508,-8.239259,5.676628
0.020000,10.810856,8.141263,7.027820,11.142635,6.379229,-9.063927,5.677500
0.020000,10.996233,8.013175,7.253144,11.266219,6.179221,-10.000427,5.679859
0.020000,11.183976,7.884322,7.480851,11.385365,5.957316,-11.095259,5.683796
0.020000,11.374221,7.755081,7.710843,11.499591,5.711301,-12.300721,5.689407
0.020000,11.567109,7.625869,7.943011,11.608367,5.438787,-13.625727,5.696803
0.020000,11.762784,7.497139,8.177232,11.711088,5.136037,-15.137468,5.706103
0.020000,11.961390,7.369395,8.413375,11.807123,4.801751,-16.714300,5.717442
0.020000,12.163073,7.243186,8.651292,11.895857,4.436715,-18.251806,5.730966
0.020000,12.367968,7.119114,8.890825,11.976640,4.039133,-19.879107,5.746832
0.020000,12.576206,6.997838,9.131804,12.048940,3.615008,-21.206282,5.765212
0.020000,12.787901,6.880075,9.374049,12.112266,3.166321,-22.434325,5.786284
0.020000,13.003148,6.766597,9.617377,12.166427,2.708007,-22.915689,5.810231
0.020000,13.222024,6.658235,9.861608,12.211543,2.255849,-22.607905,5.837233
0.020000,13.444575,6.555870,10.106573,12.248241,1.834881,-21.048402,5.867460
0.020000,13.670288,6.460640,10.351553,12.248972,0.036557,-89.916204,5.900970
0.020000,13.897980,6.373853,10.595224,12.183565,-3.270377,-165.346690,5.937643
0.020000,14.125903,6.296785,10.835824,12.030010,-7.677732,-220.367775,5.977142
0.020000,14.352385,6.230340,11.071852,11.801372,-11.431916,-187.709208,6.018989
0.020000,14.576384,6.174914,11.302606,11.537745,-13.181331,-87.470750,6.062685
0.020000,14.797406,6.130536,11.528039,11.271651,-13.304701,-6.168470,6.107743
0.020000,15.015410,6.097009,11.748606,11.028332,-12.165973,56.936392,6.153707
0.020000,15.230367,6.074057,11.964785,10.808946,-10.969271,59.835078,6.200100
0.020000,15.442257,6.061337,12.177057,10.613586,-9.768028,60.062154,6.246439
0.020000,15.651062,6.058449,12.385881,10.441233,-8.617649,57.518945,0.009082
0.020000,15.856750,6.064945,12.591672,10.289524,-7.585419,51.611524,0.053985
0.020000,16.059277,6.080341,12.794783,10.155572,-6.697617,44.390121,0.097608
0.020000,16.258583,6.104118,12.995502,10.035958,-5.980702,35.845741,0.139668
0.020000,16.454585,6.135735,13.194038,9.926790,-5.458375,26.116315,0.179951
0.020000,16.647192,6.174631,13.390534,9.824783,-5.100355,17.901017,0.218314
0.020000,16.836312,6.220237,13.585075,9.727036,-4.887381,10.648693,0.254675
0.020000,17.021842,6.271980,13.777685,9.630528,-4.825389,3.099612,0.289007
0.020000,17.203691,6.329291,13.968352,9.533338,-4.859478,-1.704452,0.321325
0.020000,17.381778,6.391614,14.157028,9.433824,-4.975732,-5.812723,0.351676
0.020000,17.556028,6.458404,14.343641,9.330613,-5.160545,-9.240616,0.380130
0.020000,17.729402,6.530098,14.531254,9.380639,2.501324,383.093460,0.397920
0.020000,17.917640,6.609484,14.735547,10.214671,41.701564,1960.011979,0.400782
0.020000,18.099262,6.687000,14.933019,9.873602,-17.053417,-2937.749059,0.406504
0.020000,18.274163,6.763121,15.123766,9.537361,-16.812060,12.067879,0.414992
0.020000,18.442229,6.838240,15.307856,9.204496,-16.643267,8.439606,0.426176
0.020000,18.603339,6.912682,15.485333,8.873847,-16.532451,5.540814,0.440014
0.020000,18.757368,6.986702,15.656225,8.544576,-16.463554,3.444849,0.456476
0.020000,18.904190,7.060496,15.820548,8.216167,-16.420434,2.156010,0.475547
0.020000,19.043683,7.134200,15.978316,7.888413,-16.387697,1.636869,0.497212
0.020000,19.175739,7.207899,16.129545,7.561461,-16.347591,2.005271,0.521456
0.020000,19.300269,7.281626,16.274263,7.235891,-16.278505,3.454314,0.548251
0.020000,19.417215,7.355366,16.412517,6.912676,-16.160753,5.887585,0.577550
0.020000,19.526559,7.429068,16.544381,6.593231,-15.972232,9.426055,0.609278
0.020000,19.628336,7.502649,16.669970,6.279425,-15.690341,14.094564,0.643321
0.020000,19.722635,7.576001,16.789439,5.973468,-15.297814,19.626357,0.679523
0.020000,19.809614,7.649008,16.902997,5.677889,-14.778957,25.942860,0.717677
0.020000,19.889496,7.721553,17.010903,5.395318,-14.128573,32.519162,0.757523
0.020000,19.962565,7.793529,17.113469,5.128307,-13.350540,38.901679,0.798748
0.020000,20.029164,7.864851,17.211051,4.879085,-12.461080,44.472972,0.840999
0.020000,20.089674,7.935456,17.304037,4.649316,-11.488478,48.630125,0.883885
0.020000,20.144504,8.005304,17.392835,4.439893,-10.471142,50.866764,0.927000
0.020000,20.194071,8.074376,17.477852,4.250846,-9.452354,50.939429,0.969937
0.020000,20.238786,8.142664,17.559478,4.081277,-8.478418,48.696780,1.012305
0.020000,20.279044,8.210160,17.638068,3.929521,-7.587812,44.530339,1.053750
0.020000,20.315212,8.276849,17.713933,3.793231,-6.814508,38.665154,1.093961
0.020000,20.347627,8.342697,17.787327,3.669714,-6.175865,31.932153,1.132683
0.020000,20.376598,8.407651,17.858449,3.556096,-5.680895,24.748510,1.169719
0.020000,20.402406,8.471633,17.927440,3.449550,-5.327296,17.679983,1.204926
0.020000,20.425310,8.534543,17.994390,3.347475,-5.103760,11.176794,1.238216
0.020000,20.445546,8.596262,18.059341,3.247584,-4.994522,5.461860,1.269544
0.020000,20.463337,8.656656,18.122302,3.148028,-4.977830,0.834631,1.298904
0.020000,20.478893,8.715583,18.183248,3.047290,-5.036859,-2.951456,1.326319
0.020000,20.492412,8.772895,18.242132,2.944211,-5.153973,-5.855694,1.351836
0.020000,20.504080,8.828443,18.298893,2.838038,-5.308672,-7.734955,1.375517
0.020000,20.514077,8.882085,18.353458,2.728255,-5.489127,-9.022767,1.397436
