dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.465474,9.862897,0.000660,0.065995,3.299769,164.988453,0.002570
0.020000,4.465474,9.862897,0.003300,0.197986,6.599538,164.988453,0.002094
0.020000,4.465474,9.862897,0.009239,0.395972,9.899307,164.988453,0.001025
0.020000,4.469676,9.862895,0.019139,0.593958,9.899307,-0.000000,6.282429
0.020000,4.483535,9.862867,0.032998,0.791945,9.899307,0.000000,6.279935
0.020000,4.501354,9.862781,0.050816,0.989931,9.899307,-0.000000,6.276728
0.020000,4.523131,9.862597,0.072595,1.187917,9.899307,-0.000000,6.272808
0.020000,4.548867,9.862271,0.098333,1.385903,9.899307,0.000000,6.268175
0.020000,4.578561,9.861746,0.128031,1.583889,9.899307,0.000000,6.262829
0.020000,4.612208,9.860959,0.161689,1.781875,9.899307,-0.000000,6.256771
0.020000,4.649809,9.859838,0.199306,1.979861,9.899307,0.000000,6.250002
0.020000,4.691358,9.858303,0.240883,2.177848,9.899307,-0.000000,6.242525
0.020000,4.736849,9.856266,0.286420,2.375834,9.899307,0.000000,6.234342
0.020000,4.786275,9.853630,0.335916,2.573820,9.899307,0.000000,6.225460
0.020000,4.839627,9.850290,0.389373,2.771806,9.899307,-0.000000,6.215883
0.020000,4.896891,9.846135,0.446789,2.969792,9.899307,0.000000,6.205621
0.020000,4.958056,9.841044,0.508164,3.167778,9.899307,-0.000000,6.194683
0.020000,5.023099,9.834892,0.573500,3.365764,9.899307,0.000000,6.183082
0.020000,5.092004,9.827544,0.642795,3.563751,9.899307,0.000000,6.170835
0.020000,5.164742,9.818862,0.716050,3.761737,9.899307,0.000000,6.157958
0.020000,5.241284,9.808702,0.793264,3.959723,9.899307,-0.000000,6.144476
0.020000,5.321597,9.796912,0.874439,4.157709,9.899307,0.000000,6.130413
0.020000,5.405642,9.783341,0.959573,4.355695,9.899307,-0.000000,6.115800
0.020000,5.493374,9.767833,1.048667,4.553681,9.899307,0.000000,6.100669
0.020000,5.584746,9.750228,1.141720,4.751667,9.899307,-0.000000,6.085059
0.020000,5.679704,9.730369,1.238733,4.949654,9.899307,0.000000,6.069012
0.020000,5.778188,9.708096,1.339706,5.147640,9.899307,0.000000,6.052574
0.020000,5.880136,9.683252,1.444639,5.345626,9.899307,-0.000000,6.035796
0.020000,5.985480,9.655685,1.553531,5.543612,9.899307,0.000000,6.018731
0.020000,6.094147,9.625243,1.666383,5.741598,9.899307,-0.000000,6.001437
0.020000,6.206063,9.591783,1.783195,5.939584,9.899307,0.000000,5.983974
0.020000,6.321148,9.555167,1.903967,6.137570,9.899307,-0.000000,5.966408
0.020000,6.439323,9.515266,2.028698,6.335557,9.899307,-0.000000,5.948801
0.020000,6.560506,9.471958,2.157389,6.533543,9.899307,0.000000,5.931223
0.020000,6.684617,9.425136,2.290040,6.731529,9.899307,0.000000,5.913740
0.020000,6.811573,9.374698,2.426650,6.929515,9.899307,0.000000,5.896421
0.020000,6.941297,9.320558,2.567220,7.127501,9.899307,-0.000000,5.879334
0.020000,7.073714,9.262641,2.711750,7.325487,9.899307,0.000000,5.862546
0.020000,7.208751,9.200887,2.860240,7.523473,9.899307,0.000000,5.846123
