dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.468043,8.862900,0.000660,0.065995,3.299769,164.988453,0.002570
0.020000,4.467568,8.862899,0.001135,0.023762,-2.111662,-270.571547,0.002094
0.020000,4.466499,8.862897,0.002204,0.053455,1.484634,179.814807,0.001025
0.020000,4.468920,8.862895,0.004625,0.121046,3.379557,94.746161,6.282429
0.020000,4.480285,8.862872,0.015990,0.568245,22.359969,949.020599,6.279935
0.020000,4.494897,8.862802,0.030602,0.730608,8.118154,-712.090750,6.276728
0.020000,4.512754,8.862651,0.048460,0.892885,8.113806,-0.217448,6.272808
0.020000,4.533858,8.862383,0.069565,1.055273,8.119442,0.281845,6.268175
0.020000,4.558205,8.861953,0.093917,1.217585,8.115603,-0.191989,6.262829
0.020000,4.585797,8.861307,0.121516,1.379939,8.117677,0.103727,6.256771
0.020000,4.616632,8.860388,0.152365,1.542450,8.125538,0.393029,6.250002
0.020000,4.650708,8.859129,0.186464,1.704973,8.126175,0.031858,6.242525
0.020000,4.688025,8.857458,0.223819,1.867733,8.137970,0.589755,6.234342
0.020000,4.728582,8.855295,0.264433,2.030694,8.148050,0.503998,6.225460
0.020000,4.772375,8.852554,0.308312,2.193973,8.163949,0.794950,6.215883
0.020000,4.819405,8.849141,0.355466,2.357657,8.184204,1.012756,6.205621
0.020000,4.869669,8.844958,0.405903,2.521881,8.211213,1.350447,6.194683
0.020000,4.923164,8.839898,0.459637,2.686688,8.240370,1.457842,6.183082
0.020000,4.979889,8.833849,0.516684,2.852368,8.283975,2.180240,6.170835
0.020000,5.039842,8.826693,0.577062,3.018907,8.326965,2.149498,6.157958
0.020000,5.103019,8.818306,0.640794,3.186567,8.382989,2.801199,6.144476
0.020000,5.169419,8.808559,0.707905,3.355559,8.449600,3.330552,6.130413
0.020000,5.239037,8.797318,0.778425,3.525988,8.521437,3.591865,6.115800
0.020000,5.311870,8.784443,0.852387,3.698105,8.605858,4.221040,6.100669
0.020000,5.387914,8.769791,0.929830,3.872140,8.701761,4.795151,6.085059
0.020000,5.467164,8.753216,1.010795,4.048251,8.805547,5.189326,6.069012
0.020000,5.549616,8.734569,1.095329,4.226701,8.922517,5.848471,6.052574
0.020000,5.635262,8.713697,1.183482,4.407655,9.047667,6.257529,6.035796
0.020000,5.724097,8.690450,1.275308,4.591301,9.182319,6.732562,6.018731
0.020000,5.816111,8.664672,1.370865,4.777843,9.327103,7.239233,6.001437
0.020000,5.911296,8.636213,1.470213,4.967420,9.478843,7.587010,5.983974
0.020000,6.009642,8.604923,1.573416,5.160162,9.637084,7.912024,5.966408
0.020000,6.111136,8.570653,1.680540,5.356179,9.800886,8.190119,5.948801
0.020000,6.215766,8.533260,1.791651,5.555550,9.968525,8.381928,5.931223
0.020000,6.323519,8.492608,1.906817,5.758321,10.138537,8.500585,5.913740
